M,0.2,0.4607
M,0.6,0.4532
M,1. 2,0.4428
L,0.1,0.4621
L,0.6,0.4647
L,1.2,0.4677
Nr,0.2,0.4626
Nr,0.8,0.4615
Nr,1.6,0.4578
Nc,0.2,0.4624
Nc,0.8,0.4613
Nc,1.6,0.4597
Q,0.1,0.4851
Q,0.4,0.5123
Q,0.8,0.5522
Pr,1,0.3474
Pr,3,0.5313
Pr,5,0.6097
Nb,0.1,0.4626
Nb,0.4,0.4658
Nb,0.7,0.4699
Nt,0.1,0.4702
Nt,0.4,0.4587
Nt,0.8,0.4467
Bi,0.2,0.1623
Bi,0.8,0.401
Bi,1.4,0.5006
